serial_number,step_inteval,steps,learning_rate,nodes,batch
403,5,30,0.001,50,100
404,5,30,0.001,50,200
405,5,30,0.001,100,10
406,5,30,0.001,100,50
407,5,30,0.001,100,100
408,5,30,0.001,100,200
409,5,30,0.001,250,10
410,5,30,0.001,250,50
411,5,30,0.001,250,100
412,5,30,0.001,250,200
413,5,30,0.001,500,10
414,5,30,0.001,500,50
415,5,30,0.001,500,100
416,5,30,0.001,500,200
417,10,10,0.01,50,10
418,10,10,0.01,50,50
419,10,10,0.01,50,100
420,10,10,0.01,50,200
421,10,10,0.01,100,10
422,10,10,0.01,100,50
423,10,10,0.01,100,100
424,10,10,0.01,100,200
425,10,10,0.01,250,10
426,10,10,0.01,250,50
427,10,10,0.01,250,100
428,10,10,0.01,250,200
429,10,10,0.01,500,10
430,10,10,0.01,500,50
431,10,10,0.01,500,100
432,10,10,0.01,500,200
433,10,10,0.001,50,10
434,10,10,0.001,50,50
435,10,10,0.001,50,100
436,10,10,0.001,50,200
437,10,10,0.001,100,10
438,10,10,0.001,100,50
439,10,10,0.001,100,100
440,10,10,0.001,100,200
441,10,10,0.001,250,10
442,10,10,0.001,250,50
443,10,10,0.001,250,100
444,10,10,0.001,250,200
445,10,10,0.001,500,10
446,10,10,0.001,500,50
447,10,10,0.001,500,100
448,10,10,0.001,500,200
449,10,20,0.01,50,10
450,10,20,0.01,50,50
451,10,20,0.01,50,100
452,10,20,0.01,50,200
453,10,20,0.01,100,10
454,10,20,0.01,100,50
455,10,20,0.01,100,100
456,10,20,0.01,100,200
457,10,20,0.01,250,10
458,10,20,0.01,250,50
459,10,20,0.01,250,100
460,10,20,0.01,250,200
461,10,20,0.01,500,10
462,10,20,0.01,500,50
463,10,20,0.01,500,100
464,10,20,0.01,500,200
465,10,20,0.001,50,10
466,10,20,0.001,50,50
467,10,20,0.001,50,100
468,10,20,0.001,50,200
469,10,20,0.001,100,10
470,10,20,0.001,100,50
471,10,20,0.001,100,100
472,10,20,0.001,100,200
473,10,20,0.001,250,10
474,10,20,0.001,250,50
475,10,20,0.001,250,100
476,10,20,0.001,250,200
477,10,20,0.001,500,10
478,10,20,0.001,500,50
479,10,20,0.001,500,100
480,10,20,0.001,500,200
481,20,10,0.01,50,10
482,20,10,0.01,50,50
483,20,10,0.01,50,100
484,20,10,0.01,50,200
485,20,10,0.01,100,10
486,20,10,0.01,100,50
487,20,10,0.01,100,100
488,20,10,0.01,100,200
489,20,10,0.01,250,10
490,20,10,0.01,250,50
491,20,10,0.01,250,100
492,20,10,0.01,250,200
493,20,10,0.01,500,10
494,20,10,0.01,500,50
495,20,10,0.01,500,100
496,20,10,0.01,500,200
497,20,10,0.001,50,10
498,20,10,0.001,50,50
499,20,10,0.001,50,100
500,20,10,0.001,50,200
501,20,10,0.001,100,10
502,20,10,0.001,100,50
503,20,10,0.001,100,100
504,20,10,0.001,100,200
505,20,10,0.001,250,10
506,20,10,0.001,250,50
507,20,10,0.001,250,100
508,20,10,0.001,250,200
509,20,10,0.001,500,10
510,20,10,0.001,500,50
511,20,10,0.001,500,100
512,20,10,0.001,500,200
