date,index1,index2,loss_profits,pred_date,prediction,real,0.586614173,4.559060409,-4.567475718,24.95000033,-23.54999949
2017-10-20,326.25,326.85,0.600000012,2017-10-27,0.696203113,0.101890959,,,,,
2017-10-23,327.05,327.45,0.400000003,2017-10-30,0.900319576,0.065883748,,,,,
2017-10-24,326.55,331.05,4.500000037,2017-10-31,0.281191677,0.74725616,,,,,
2017-10-25,326.75,336.5499999,9.799999883,2017-11-01,0.107165225,1.674117208,,,,,
2017-10-26,323.75,335.0499995,-11.29999949,2017-11-02,-0.324633509,2.062523127,,,,,
2017-10-27,326.85,336.3500001,9.500000066,2017-11-03,0.060279045,1.77513063,,,,,
2017-10-30,327.45,334.1500003,-6.700000262,2017-11-06,-0.571176469,1.296020746,,,,,
2017-10-31,331.05,333.7500001,-2.700000149,2017-11-07,-0.055978179,0.528079093,,,,,
2017-11-01,336.55,335.25,1.300000003,2017-11-08,-0.473615259,-0.23925671,,,,,
2017-11-02,335.05,333.6499999,1.400000061,2017-11-09,-0.277290851,-0.261373639,,,,,
2017-11-03,336.35,332.9000001,3.449999863,2017-11-10,-0.068498023,-0.66604811,,,,,
2017-11-06,334.15,331.5500001,2.599999884,2017-11-13,-0.134082064,-0.571890712,,,,,
2017-11-07,333.75,331.2999999,2.450000073,2017-11-14,-0.518543839,-0.559839845,,,,,
2017-11-08,335.25,329.15,6.099999961,2017-11-15,-1.050222039,-1.367098927,,,,,
2017-11-09,333.65,331.3000001,-2.34999989,2017-11-16,0.070957683,-0.521186948,,,,,
2017-11-10,332.9,330.95,-1.949999998,2017-11-17,0.312393337,-0.436267525,,,,,
2017-11-13,331.55,329.45,2.100000016,2017-11-20,-0.519983411,-0.48032403,,,,,
2017-11-14,331.3,330.85,0.450000006,2017-11-21,-0.486526757,-0.10554859,,,,,
2017-11-15,329.15,332.5500001,-3.400000091,2017-11-22,-0.855634987,0.820456564,,,,,
2017-11-16,331.3,331.45,-0.150000006,2017-11-23,-0.520962536,0.038813587,,,,,
2017-11-17,330.95,332.25,-1.300000049,2017-11-24,-0.160626367,0.350294858,,,,,
2017-11-20,329.45,325.8999999,-3.550000082,2017-11-27,1.13008225,-0.982864678,,,,,
2017-11-21,330.85,327.7,-3.149999956,2017-11-28,1.05717063,-0.914247215,,,,,
2017-11-22,332.55,327.6999999,-4.850000135,2017-11-29,0.862687469,-1.481808901,,,,,
2017-11-23,331.45,322.2499999,-9.20000007,2017-11-30,0.360099763,-3.419247866,,,,,
2017-11-24,332.25,321.8499998,10.40000019,2017-12-01,-0.059299983,-4.346112251,,,,,
2017-11-27,325.9,325,-0.900000015,2017-12-04,1.59620738,-0.349126637,,,,,
2017-11-28,327.7,326.6,-1.100000032,2017-12-05,1.400250196,-0.398051918,,,,,
2017-11-29,327.7,321.65,-6.049999998,2017-12-06,0.734268785,-2.222578287,,,,,
2017-11-30,322.25,320.7,-1.550000026,2017-12-07,0.220664129,-0.466620892,,,,,
2017-12-01,321.85,321.4,-0.449999996,2017-12-08,0.255259722,-0.122878879,,,,,
2017-12-04,325,321.4999999,3.50000005,2017-12-11,-0.015823932,-0.939298987,,,,,
2017-12-05,326.6,320.4500002,6.14999984,2017-12-12,-0.225184172,-1.674072504,,,,,
2017-12-06,321.65,322.85,1.200000016,2017-12-13,0.799716711,0.315312892,,,,,
2017-12-07,320.7,324.3,3.60000003,2017-12-14,0.031526648,0.89284426,,,,,
2017-12-08,321.4,322.75,1.350000031,2017-12-15,0.203817979,0.326244801,,,,,
2017-12-11,321.5,324.15,2.649999964,2017-12-18,0.803854227,0.625120699,,,,,
2017-12-12,320.45,323.8500001,3.400000052,2017-12-19,0.404199868,0.77937001,,,,,
2017-12-13,322.85,323.55,0.699999974,2017-12-20,0.060150899,0.159420326,,,,,
2017-12-14,324.3,316.8500001,-7.449999948,2017-12-21,0.640949667,-1.75671041,,,,,
2017-12-15,322.75,318.5000002,-4.2499998,2017-12-22,0.68314755,-1.031988978,,,,,
2017-12-18,324.15,318.5000001,-5.649999911,2017-12-25,0.719128072,-1.406483531,,,,,
2017-12-19,323.85,317.4499999,-6.400000117,2017-12-26,0.89017731,-1.68546617,,,,,
2017-12-20,323.55,321.2,2.350000005,2017-12-27,-0.170203209,-0.703244567,,,,,
2017-12-21,316.85,325.6500003,8.800000292,2017-12-28,0.855321884,2.655910254,,,,,
2017-12-22,318.5,325.6499997,7.149999749,2017-12-29,0.942309856,2.52755332,,,,,
2017-12-25,318.5,325.6499998,7.149999762,2018-01-01,1.161906719,2.457956791,,,,,
2017-12-26,317.45,326.5000002,9.050000226,2018-01-02,0.844769895,3.156991005,,,,,
2017-12-27,321.2,327.6999999,6.49999993,2018-01-03,0.153408214,2.550786734,,,,,
2017-12-28,325.65,325,0.649999992,2018-01-04,-0.011105238,-0.241500929,,,,,
