date,index1,index2,loss_profits,pred_date,prediction,real,0.562992126,4.074825184,-5.20229358
2017-10-09,314.3,325.5000001,11.20000009,2017-10-16,0.258691311,3.563474417,,,
2017-10-10,320.15,325.8000002,-5.650000178,2017-10-17,-0.355872065,1.764797807,,,
2017-10-11,323.25,325.85,-2.599999972,2017-10-18,-0.42200312,0.804331005,,,
2017-10-12,325.65,324.1,1.549999993,2017-10-19,-0.611978769,-0.475971133,,,
2017-10-13,325.3,326.25,-0.949999981,2017-10-20,-0.951535285,0.292038113,,,
2017-10-16,325.5,327.05,-1.550000005,2017-10-23,-0.410469115,0.476190478,,,
2017-10-17,325.8,326.55,0.749999975,2017-10-24,1.093504786,0.230202571,,,
2017-10-18,325.85,326.75,0.900000019,2017-10-25,0.467394292,0.276200712,,,
2017-10-19,324.1,323.75,-0.349999998,2017-10-26,1.940137863,-0.10799136,,,
2017-10-20,326.25,326.85,0.599999998,2017-10-27,1.813560247,0.183908045,,,
2017-10-23,327.05,327.45,0.400000008,2017-10-30,1.142980814,0.12230546,,,
2017-10-24,326.55,331.05,4.499999987,2017-10-31,1.349992275,1.378043175,,,
2017-10-25,326.75,336.5500001,9.800000084,2017-11-01,1.512092233,2.999234915,,,
2017-10-26,323.75,335.0499997,11.29999966,2017-11-02,0.959999502,3.490347385,,,
2017-10-27,326.85,336.35,9.500000003,2017-11-03,1.062919378,2.906532049,,,
2017-10-30,327.45,334.1500002,6.700000188,2017-11-06,0.681207538,2.046113968,,,
2017-10-31,331.05,333.7499999,2.699999922,2017-11-07,0.706282496,0.815586746,,,
2017-11-01,336.55,335.25,1.299999965,2017-11-08,-0.204121217,-0.38627246,,,
2017-11-02,335.05,333.65,-1.399999993,2017-11-09,0.47335875,-0.41784808,,,
2017-11-03,336.35,332.9,3.449999999,2017-11-10,-0.409421772,-1.025717258,,,
2017-11-06,334.15,331.5499999,-2.600000084,2017-11-13,1.054497957,-0.778093696,,,
2017-11-07,333.75,331.3,2.450000013,2017-11-14,-0.319384903,-0.734082401,,,
2017-11-08,335.25,329.1500001,-6.099999937,2017-11-15,0.02020744,-1.81953764,,,
2017-11-09,333.65,331.3000001,2.34999992,2017-11-16,-0.83250457,-0.704330862,,,
2017-11-10,332.9,330.95,1.949999992,2017-11-17,-0.30352658,-0.585761487,,,
2017-11-13,331.55,329.45,2.100000031,2017-11-20,-1.106863499,-0.633388638,,,
2017-11-14,331.3,330.85,0.450000001,2017-11-21,-1.672336102,-0.135828555,,,
2017-11-15,329.15,332.5500002,-3.400000192,2017-11-22,-0.611561358,1.032963753,,,
2017-11-16,331.3,331.45,-0.149999996,2017-11-23,-1.543941498,0.045276184,,,
2017-11-17,330.95,332.25,-1.300000017,2017-11-24,-1.357180834,0.392808586,,,
2017-11-20,329.45,325.9,-3.550000041,2017-11-27,1.103752136,-1.077553511,,,
2017-11-21,330.85,327.7000001,-3.149999905,2017-11-28,1.023869038,-0.952093065,,,
2017-11-22,332.55,327.7,4.850000019,2017-11-29,-0.511843383,-1.45842731,,,
2017-11-23,331.45,322.2499997,-9.200000269,2017-11-30,0.348302662,-2.775682688,,,
2017-11-24,332.25,321.8500003,-10.39999969,2017-12-01,0.881602407,-3.130172968,,,
2017-11-27,325.9,325,-0.900000007,2017-12-04,1.116084099,-0.276158333,,,
2017-11-28,327.7,326.6,-1.100000045,2017-12-05,0.50585109,-0.335672885,,,
2017-11-29,327.7,321.6499999,6.0500001,2017-12-06,-1.33468771,-1.846200824,,,
2017-11-30,322.25,320.7,1.550000047,2017-12-07,-1.292995214,-0.480993032,,,
2017-12-01,321.85,321.4,0.450000006,2017-12-08,-1.057936668,-0.139816687,,,
2017-12-04,325,321.4999998,3.500000179,2017-12-11,-0.054697398,-1.076923132,,,
2017-12-05,326.6,320.4500001,-6.149999916,2017-12-12,0.185640067,-1.883037329,,,
2017-12-06,321.65,322.85,-1.199999982,2017-12-13,-0.080801614,0.37307632,,,
2017-12-07,320.7,324.2999999,3.599999916,2017-12-14,0.72898823,1.122544408,,,
2017-12-08,321.4,322.75,1.349999976,2017-12-15,0.482944548,0.420037329,,,
