date,index_pred,index_real,index_today,loss_profits,pred_date,prediction,real
2017-12-29,337.1985897064209,314.54999961853025,325.65,-11.100000381469727,2018-03-30,11.548589706420898,-11.100000381469727
2018-01-01,332.61792316436765,313.45000019073484,325.65,-12.199999809265137,2018-04-02,6.967923164367676,-12.199999809265137
2018-01-02,330.3069648742676,312.80000019073486,326.5,-13.699999809265137,2018-04-03,3.806964874267578,-13.699999809265137
2018-01-03,333.1634771347046,307.5500003814697,327.7,-20.149999618530273,2018-04-04,5.46347713470459,-20.149999618530273
2018-01-04,331.619948387146,312.94999980926514,325.0,-12.050000190734863,2018-04-05,6.619948387145996,-12.050000190734863
2018-01-05,333.6728651046753,311.2,328.95,-17.75,2018-04-06,4.722865104675293,-17.75
2018-01-08,335.41961908340454,312.95000076293945,331.25,-18.299999237060547,2018-04-09,4.169619083404541,-18.299999237060547
2018-01-09,335.13558502197264,313.45,330.45,-17.0,2018-04-10,4.685585021972656,-17.0
2018-01-10,335.81736145019534,312.45000038146975,327.85,-15.399999618530273,2018-04-11,7.9673614501953125,-15.399999618530273
2018-01-11,333.523521900177,311.75,326.5,-14.75,2018-04-12,7.023521900177002,-14.75
2018-01-12,327.47539803981783,314.45000038146975,326.85,-12.399999618530273,2018-04-13,0.6253980398178101,-12.399999618530273
2018-01-15,331.4809091567993,314.3,327.3,-13.0,2018-04-16,4.180909156799316,-13.0
2018-01-16,331.17622542381287,314.3999996185303,330.5,-16.100000381469727,2018-04-17,0.6762254238128662,-16.100000381469727
2018-01-17,331.1374450445175,317.59999961853026,329.2,-11.600000381469727,2018-04-18,1.937445044517517,-11.600000381469727
2018-01-18,331.79592242240903,319.0000003814697,329.4,-10.399999618530273,2018-04-19,2.3959224224090576,-10.399999618530273
2018-01-19,333.01238498687746,316.9000001907349,329.6,-12.699999809265137,2018-04-20,3.4123849868774414,-12.699999809265137
2018-01-22,328.82351541519165,317.1000003814697,326.25,-9.149999618530273,2018-04-23,2.5735154151916504,-9.149999618530273
2018-01-23,334.6912181377411,315.3500003814697,331.25,-15.899999618530273,2018-04-24,3.441218137741089,-15.899999618530273
2018-01-24,336.16621217727663,312.95000038146975,331.6,-18.649999618530273,2018-04-25,4.566212177276611,-18.649999618530273
2018-01-25,337.3426905155182,317.4499996185303,334.3,-16.850000381469727,2018-04-26,3.0426905155181885,-16.850000381469727
2018-01-26,338.21179218292235,320.1499998092651,335.95,-15.800000190734863,2018-04-27,2.2617921829223633,-15.800000190734863
2018-01-29,343.143759727478,321.6499996185303,338.5,-16.850000381469727,2018-04-30,4.643759727478027,-16.850000381469727
2018-01-30,344.280087852478,321.65,333.9,-12.25,2018-05-01,10.380087852478027,-12.25
2018-01-31,338.3556968688965,319.75000019073485,334.45,-14.699999809265137,2018-05-02,3.9056968688964844,-14.699999809265137
2018-02-01,341.8008922576904,318.0000003814697,333.65,-15.649999618530273,2018-05-03,8.15089225769043,-15.649999618530273
2018-02-02,340.4891819000244,316.45000019073484,327.4,-10.949999809265137,2018-05-04,13.089181900024414,-10.949999809265137
2018-02-05,340.98753356933594,316.44999980926514,323.0,-6.550000190734863,2018-05-07,17.987533569335938,-6.550000190734863
2018-02-06,334.8291248321533,314.0500000953674,317.65,-3.5999999046325684,2018-05-08,17.17912483215332,-3.5999999046325684
2018-02-07,325.0601987838745,314.05000019073486,309.5,4.550000190734863,2018-05-09,15.560198783874512,4.550000190734863
2018-02-08,325.69054985046387,315.84999990463257,312.5,3.3499999046325684,2018-05-10,13.190549850463867,3.3499999046325684
2018-02-09,317.0006786346436,317.6500001907349,303.85,13.800000190734863,2018-05-11,13.150678634643555,13.800000190734863
2018-02-12,317.33423767089846,316.85,308.1,8.75,2018-05-14,9.234237670898438,8.75
2018-02-13,323.4277156829834,313.74999990463255,311.4,2.3499999046325684,2018-05-15,12.027715682983398,2.3499999046325684
2018-02-14,320.05048351287843,314.90000002384187,314.3,0.6000000238418579,2018-05-16,5.750483512878418,0.6000000238418579
2018-02-15,318.3670156478882,313.40000002384187,314.3,-0.8999999761581421,2018-05-17,4.067015647888184,-0.8999999761581421
2018-02-16,319.012938785553,314.7499999880791,314.3,0.44999998807907104,2018-05-18,4.7129387855529785,0.44999998807907104
2018-02-19,319.91348791122437,315.10000002384186,316.25,-1.149999976158142,2018-05-21,3.6634879112243652,-1.149999976158142
2018-02-20,315.9740447998047,315.09999990463257,312.0,3.0999999046325684,2018-05-22,3.9740447998046875,3.0999999046325684
2018-02-21,312.01844363212587,317.1499999046326,314.05,-3.0999999046325684,2018-05-23,-2.0315563678741455,3.0999999046325684
2018-02-22,318.2815128326416,316.54999980926516,311.85,4.699999809265137,2018-05-24,6.431512832641602,4.699999809265137
2018-02-23,320.468461227417,317.2999999940395,316.95,0.3499999940395355,2018-05-25,3.518461227416992,0.3499999940395355
2018-02-26,319.3618925571442,318.1,317.1,1.0,2018-05-28,2.261892557144165,1.0
2018-02-27,315.7033543139696,314.89999997615814,315.75,0.8500000238418579,2018-05-29,-0.04664568603038788,-0.8500000238418579
2018-02-28,315.4168660163879,307.54999990463256,312.45,-4.900000095367432,2018-05-30,2.9668660163879395,-4.900000095367432
2018-03-01,318.4844886779785,309.1500000476837,312.45,-3.299999952316284,2018-05-31,6.034488677978516,-3.299999952316284
2018-03-02,316.1415084838867,311.4,308.15,3.25,2018-06-01,7.991508483886719,3.25
2018-03-05,311.22280607223513,313.1500001907349,303.85,9.300000190734863,2018-06-04,7.372806072235107,9.300000190734863
2018-03-06,315.1936815261841,313.7500000476837,310.3,3.450000047683716,2018-06-05,4.893681526184082,3.450000047683716
